id,attraction_id,author,description,url,source_platform_id,created_at
6e3a6c9d85d46a71e35412dbd3448f72,fc73810e75cbcb35391b0f013cfabeab,和装家あきこ👘広島｜きものファン作りの人｜sailing好き,,https://www.facebook.com/reel/315175268337227/?__cft__[0]=AZUHFSIbZ7mULWJmWUTSlQspZMIAFIoSFMSRKcUo2eDVEEFtuf2wqb3ggL1jut9DhhjuDdte3QEmMYrwipz7ylrwNuNrwVr_Vp0STqMPVNi6ct0UcggJeLyp6gw89P9Yl6CtMShEndmVlH_Br8Jgn_G-fVJZkS976ClZ-qldSBEkZg&__tn__=%2CO%2CP-R,fb,2024-04-20
f3d419cf7879c19268d7fe7e17b63eae,fc73810e75cbcb35391b0f013cfabeab,INF. / Rumi ｜質感縮毛矯正｜嚕嚕剪｜質感髮色｜漂後縮毛｜髮流矯正｜京喚羽｜黑曜光,,https://www.facebook.com/reel/735049845502200/?__cft__[0]=AZWddWPiq485-x1jQd32UVZf7eUMrokyQkZNGsYSjSXX3g4k07DNG72nR-D5SGy0KcKGzgwHi5FXgF6G4XJ9U3SWPp5xL_tNnUaRK_W3gIeO6v--bqkJvq0wA5QZMhT_ZCZXAeErcfNy_SjRJev7PLgXYIMPhnQhyyPQpMVKVPsDLQ&__tn__=%2CO%2CP-R,fb,2024-04-21
ec334828204a755fc04b690b0af75fa7,fc73810e75cbcb35391b0f013cfabeab,HyperArt Folio👩🏻‍🎨（犀）茜利藝術,,https://www.facebook.com/reel/425173096781113/?__cft__[0]=AZVweebA_-d5JzJLOf_KzQVhH6iaU7T-qAKkLC1X11-LxAIsaeN6rv2ZgrCbzQ9jUBuhnL_0pPEbFqcX1CsCaqflI2nnRiM1-fxzPaoEakQU7RXeCRzxOZnZt74wG3IJzdYJRnw2ZGvH8XatiB25OD58VB5d83r-h4YrjNYod1fixQ&__tn__=%2CO%2CP-R,fb,2024-04-30
d94d078b15c05188cf64d933371e74ce,fc73810e75cbcb35391b0f013cfabeab,王美菊,113年5月12日與佛相遇「佛誕節、母親節、全球慈濟日」三節合一浴佛大典，將於五月十二日舉行。邀請您一同共沐佛恩，善念共振，上達天聽。…… 查看更多,https://www.facebook.com/permalink.php?story_fbid=pfbid02mbmu1joRQF5G8Vyy46GLrtvC2rGH7wLGcPFrFfZPRcPwfhHQXrSnsrVX2LisWrUtl&id=100002266911494&__cft__[0]=AZW8_6b2o72kRhxoTmWy0Z-2i9hW3ZP-n4RZulRuAJShR8XCd-aY9AOj_2D9edd43Mr1A79XAowpvYroF2Y_ySkw-5QW1YGo_j005m4rs8rSoHAhOoOC0aG9M8v4_0b4FoqhbWgrtHHhGPQKzYjU7VknazCfC6qhnRxjDa3CWqhBUw&__tn__=%2CO%2CP-R,fb,2024-05-07
8fdfc37b596b6e4a3b868bd0e1b92ab2,fc73810e75cbcb35391b0f013cfabeab,Yoyo Yu,,https://www.facebook.com/reel/1370797153619959/?__cft__[0]=AZW_tZS8VtlQDjH321KlodsobnV2yPxuKufeA8bUMqeLaOyeoCff4VNJd1NiUjnyRXl6HXBC4FlCtBR7lK0704Eqlp4gjX84BgghxcLgufWg2kkU-nk7EthVJ7VRXQsFXORIo_9JsEXB20Isp0FrvJxKUIZpJ4wuDSfs3ue9WSTBpA&__tn__=%2CO%2CP-R,fb,2024-04-22
6d485886fecd94a3c7876ceb1780a748,fc73810e75cbcb35391b0f013cfabeab,羊羊,,https://www.facebook.com/reel/720116786715091/?__cft__[0]=AZX8uyLovCNDDBDlfQ80LmmZUV9CuBNXJqDTLLmRLQu4GIK2LbbtBFTDVoMHtsMSre-QEEyykJjpLPyV7fSihf8XLpXZXbJye41ml0wRy1N_L8WVvJy6CA2DH47oB84b_Rz3rOuBKiNqxDLWrhfCl7tsbNPnWSHwxwOctxOx_K3PDw&__tn__=%2CO%2CP-R,fb,2024-04-22
85ae7ae2334b7cae0019aec9a81bd1ea,fc73810e75cbcb35391b0f013cfabeab,orange.k,,https://www.facebook.com/reel/1485893318676383/?__cft__[0]=AZVHdlAXOtmw60m2HsEemTBo1gY5vqHjtMbIbPwA6pyYpdVdhPbjQZzORSCL3Ll34kUSI33vKSkxKkC8LDtcsEg7gWLEzCtRiKNXcRfGelF94gsxDDGdMLp3BYlBIKH-K9m7KVLcUt46g4z6SreOpzZtmzknhxxdItux7p9xKxflqg&__tn__=%2CO%2CP-R,fb,2024-04-25
a56943b7140aeb9e2797be08e974126a,fc73810e75cbcb35391b0f013cfabeab,149維尼🧸｜縮毛矯正｜質感髮色 | 偽電棒燙捲髮,,https://www.facebook.com/reel/1090724935468498/?__cft__[0]=AZX1o0FYpPQuGR7tpV_7QLOd6vRw2Zyo9AjyYVJseDxtmKl9rsAztrWPCMRjYm4zkSRiQ03fMGEmoMp9fQZeRSvBSTlfCoh3cHW_Vfv_ysGFVlI4eS5chQ-1__2rwbTurgxVnlgejCLvBZlV93DmYVCiEtTEO_wUH5hHojEq1orAUA&__tn__=%2CO%2CP-R,fb,2024-04-04
de3b05c28cec19394eb93ebcc63eaba5,fc73810e75cbcb35391b0f013cfabeab,𝐏𝐡𝐞𝐦𝐢𝐞 𝐂𝐡𝐞𝐧｜肥米’s 食旅日誌 ♡,,https://www.facebook.com/reel/1468174103987805/?__cft__[0]=AZVtZ_AsXzfVrPPjdEwK2zTAXnWTEF5YCyEBh1T5DxKDrrboxxw7X_N4rUDoj3NXjLReNJwnyFDYCTDh877_-6V8NUPqcUyTwcV9zyUw2ZW8rYue_NDCDVIMGMKp9etRPmacXJGceQMIvf-FOHBh_KGvxdjsak3JBQGr3W8ikxd4tg&__tn__=%2CO%2CP-R,fb,2023-06-20
ebbbac3cce0233e79a6f696c4881be1f,fc73810e75cbcb35391b0f013cfabeab,凡,,https://www.facebook.com/reel/655097343194262/?__cft__[0]=AZVAHFskoYLfy5TJmL3AxcNr2PZGorAIWKyyboW_9ZraWcNJOYYP6-RDohTzDAijGh4L84QGzTX5uFg3FCZlDgtwmRn9BEx99Gp2TiTwS-9mmv5RPM9GfZ2PesYnY8Ep7etdtTDzAQgomhIQfPtHa3nGTQD1QAhVI_qcA1oAuJu4Ag&__tn__=%2CO%2CP-R,fb,2023-06-09
